test_data_id,node_count,computation_capacity,function_count,resource_demands,data_sizes,bandwidth_matrix,gpu_cost,memory_cost,bandwidth_cost,profit_per_user
85,17,"[[435,870],[193,1351],[145,725],[515,1545],[328,656],[61,366],[175,875],[157,1099],[297,594],[229,1832],[71,355],[94,282],[475,950],[89,534],[304,912],[205,1025],[503,1509]]",7,"[[11.6, 128], [14.0, 264], [16.8, 241], [20.1, 310], [24.2, 414], [29.0, 471], [34.8, 615]]","[30, 60, 69, 83, 79, 74]","[[0, 1000, 200, 50, 50, 0, 0, 200, 1000, 50, 500, 0, 0, 50, 0, 500, 1000], [1000, 0, 200, 200, 100, 0, 50, 1000, 0, 50, 100, 1000, 200, 0, 1000, 1000, 500], [200, 200, 0, 1000, 1000, 50, 50, 200, 200, 100, 50, 200, 0, 200, 0, 1000, 100], [50, 200, 1000, 0, 200, 200, 1000, 0, 200, 0, 500, 100, 1000, 200, 1000, 1000, 500], [50, 100, 1000, 200, 0, 500, 0, 1000, 500, 0, 0, 0, 0, 0, 1000, 0, 500], [0, 0, 50, 200, 500, 0, 200, 100, 200, 100, 50, 0, 200, 1000, 500, 100, 1000], [0, 50, 50, 1000, 0, 200, 0, 500, 0, 0, 1000, 200, 1000, 1000, 0, 0, 100], [200, 1000, 200, 0, 1000, 100, 500, 0, 1000, 50, 0, 200, 0, 0, 0, 1000, 100], [1000, 0, 200, 200, 500, 200, 0, 1000, 0, 500, 0, 0, 1000, 0, 1000, 0, 1000], [50, 50, 100, 0, 0, 100, 0, 50, 500, 0, 1000, 1000, 100, 200, 0, 50, 0], [500, 100, 50, 500, 0, 50, 1000, 0, 0, 1000, 0, 1000, 500, 50, 50, 100, 200], [0, 1000, 200, 100, 0, 0, 200, 200, 0, 1000, 1000, 0, 1000, 0, 100, 200, 500], [0, 200, 0, 1000, 0, 200, 1000, 0, 1000, 100, 500, 1000, 0, 1000, 500, 1000, 1000], [50, 0, 200, 200, 0, 1000, 1000, 0, 0, 200, 50, 0, 1000, 0, 500, 200, 100], [0, 1000, 0, 1000, 1000, 500, 0, 0, 1000, 0, 50, 100, 500, 500, 0, 200, 100], [500, 1000, 1000, 1000, 0, 100, 0, 1000, 0, 50, 100, 200, 1000, 200, 200, 0, 200], [1000, 500, 100, 500, 500, 1000, 100, 100, 1000, 0, 200, 500, 1000, 100, 100, 200, 0]]",0.228,0.11,0.05,435
86,8,"[[211,1055],[133,1064],[99,594],[211,1055],[229,1145],[247,1976],[237,1659],[181,1448]]",5,"[[12.8, 148], [15.4, 281], [18.4, 318], [22.1, 395], [26.6, 360]]","[84, 78, 48, 72]","[[0, 500, 0, 50, 1000, 0, 0, 500], [500, 0, 500, 0, 0, 100, 0, 0], [0, 500, 0, 1000, 50, 0, 0, 0], [50, 0, 1000, 0, 1000, 0, 50, 100], [1000, 0, 50, 1000, 0, 200, 50, 1000], [0, 100, 0, 0, 200, 0, 500, 0], [0, 0, 0, 50, 50, 500, 0, 200], [500, 0, 0, 100, 1000, 0, 200, 0]]",0.142,0.1,0.02,289
87,7,"[[234,1638],[190,1330],[79,474],[548,1096],[156,936],[564,1128],[53,318]]",6,"[[12.7, 158], [15.3, 196], [18.3, 192], [22.0, 312], [26.4, 471], [31.7, 547]]","[60, 46, 76, 28, 25]","[[0, 500, 500, 500, 500, 1000, 500], [500, 0, 500, 1000, 200, 50, 1000], [500, 500, 0, 1000, 1000, 200, 0], [500, 1000, 1000, 0, 200, 200, 0], [500, 200, 1000, 200, 0, 1000, 0], [1000, 50, 200, 200, 1000, 0, 200], [500, 1000, 0, 0, 0, 200, 0]]",0.319,0.14,0.05,255
88,8,"[[59,177],[146,730],[429,1287],[243,1215],[153,1224],[206,1648],[556,1112],[82,328]]",6,"[[8.5, 132], [10.2, 174], [12.2, 123], [14.6, 237], [17.6, 316], [21.1, 402]]","[38, 56, 65, 97, 52]","[[0, 1000, 0, 500, 500, 1000, 1000, 1000], [1000, 0, 200, 0, 100, 0, 1000, 0], [0, 200, 0, 1000, 0, 0, 1000, 50], [500, 0, 1000, 0, 500, 100, 100, 0], [500, 100, 0, 500, 0, 200, 500, 0], [1000, 0, 0, 100, 200, 0, 500, 100], [1000, 1000, 1000, 100, 500, 500, 0, 1000], [1000, 0, 50, 0, 0, 100, 1000, 0]]",0.315,0.15,0.03,248
89,8,"[[85,255],[525,1050],[84,504],[339,678],[401,802],[165,1155],[127,889],[481,1443]]",5,"[[5.5, 56], [6.6, 114], [7.9, 108], [9.5, 134], [11.4, 197]]","[87, 75, 66, 47]","[[0, 200, 100, 1000, 50, 200, 0, 500], [200, 0, 1000, 0, 0, 50, 200, 1000], [100, 1000, 0, 1000, 0, 1000, 50, 0], [1000, 0, 1000, 0, 500, 0, 200, 50], [50, 0, 0, 500, 0, 200, 200, 100], [200, 50, 1000, 0, 200, 0, 200, 1000], [0, 200, 50, 200, 200, 200, 0, 1000], [500, 1000, 0, 50, 100, 1000, 1000, 0]]",0.119,0.15,0.07,221
90,8,"[[51,255],[142,994],[487,974],[57,342],[414,828],[128,896],[78,234],[422,844]]",5,"[[11.0, 205], [13.2, 141], [15.8, 210], [19.0, 291], [22.8, 363]]","[41, 59, 91, 94]","[[0, 1000, 0, 1000, 50, 0, 0, 200], [1000, 0, 500, 100, 500, 0, 500, 500], [0, 500, 0, 1000, 100, 1000, 0, 0], [1000, 100, 1000, 0, 1000, 0, 200, 100], [50, 500, 100, 1000, 0, 1000, 50, 200], [0, 0, 1000, 0, 1000, 0, 1000, 0], [0, 500, 0, 200, 50, 1000, 0, 200], [200, 500, 0, 100, 200, 0, 200, 0]]",0.124,0.14,0.02,367
91,9,"[[171,1197],[491,1473],[64,320],[84,420],[567,1134],[57,228],[492,984],[236,1652],[164,820]]",7,"[[11.6, 145], [13.9, 213], [16.7, 233], [20.0, 331], [24.0, 248], [28.8, 535], [34.6, 645]]","[29, 84, 46, 57, 75, 56]","[[0, 500, 1000, 0, 50, 0, 500, 500, 200], [500, 0, 500, 500, 200, 50, 200, 200, 0], [1000, 500, 0, 500, 1000, 50, 50, 200, 50], [0, 500, 500, 0, 1000, 0, 0, 1000, 500], [50, 200, 1000, 1000, 0, 500, 0, 0, 0], [0, 50, 50, 0, 500, 0, 1000, 50, 500], [500, 200, 50, 0, 0, 1000, 0, 500, 0], [500, 200, 200, 1000, 0, 50, 500, 0, 500], [200, 0, 50, 500, 0, 500, 0, 500, 0]]",0.391,0.07,0.03,457
92,8,"[[549,1098],[270,540],[243,1458],[183,1098],[58,290],[152,1216],[93,372],[306,918]]",6,"[[7.4, 106], [8.8, 158], [10.6, 130], [12.7, 196], [15.3, 297], [18.3, 237]]","[63, 85, 39, 63, 38]","[[0, 1000, 500, 200, 1000, 500, 0, 500], [1000, 0, 500, 200, 500, 50, 1000, 0], [500, 500, 0, 500, 200, 1000, 50, 200], [200, 200, 500, 0, 1000, 0, 0, 500], [1000, 500, 200, 1000, 0, 1000, 200, 0], [500, 50, 1000, 0, 1000, 0, 500, 50], [0, 1000, 50, 0, 200, 500, 0, 500], [500, 0, 200, 500, 0, 50, 500, 0]]",0.509,0.06,0.04,250
93,8,"[[99,594],[439,1317],[75,375],[89,445],[290,870],[252,504],[453,1359],[397,1191]]",5,"[[10.0, 158], [12.0, 150], [14.4, 145], [17.3, 186], [20.8, 220]]","[67, 54, 56, 80]","[[0, 1000, 1000, 500, 100, 0, 50, 500], [1000, 0, 500, 0, 50, 0, 500, 0], [1000, 500, 0, 500, 500, 200, 200, 0], [500, 0, 500, 0, 1000, 500, 0, 0], [100, 50, 500, 1000, 0, 1000, 100, 500], [0, 0, 200, 500, 1000, 0, 200, 0], [50, 500, 200, 0, 100, 200, 0, 500], [500, 0, 0, 0, 500, 0, 500, 0]]",0.155,0.12,0.06,336
94,6,"[[78,234],[510,1530],[74,296],[131,655],[76,380],[80,240]]",5,"[[13.8, 225], [16.6, 259], [19.9, 320], [23.9, 447], [28.7, 368]]","[79, 42, 36, 28]","[[0, 500, 0, 50, 0, 500], [500, 0, 500, 500, 1000, 500], [0, 500, 0, 500, 0, 0], [50, 500, 500, 0, 500, 1000], [0, 1000, 0, 500, 0, 1000], [500, 500, 0, 1000, 1000, 0]]",0.256,0.07,0.06,392
95,10,"[[100,700],[301,903],[211,1055],[414,828],[490,1470],[228,1596],[181,905],[219,1533],[356,712],[53,159]]",4,"[[7.0, 99], [8.4, 158], [10.1, 191], [12.1, 156]]","[78, 20, 88]","[[0, 1000, 500, 200, 200, 100, 500, 1000, 200, 500], [1000, 0, 200, 0, 50, 0, 0, 50, 500, 100], [500, 200, 0, 1000, 0, 200, 1000, 500, 50, 100], [200, 0, 1000, 0, 500, 100, 0, 0, 0, 50], [200, 50, 0, 500, 0, 200, 0, 50, 1000, 50], [100, 0, 200, 100, 200, 0, 1000, 0, 0, 200], [500, 0, 1000, 0, 0, 1000, 0, 500, 1000, 0], [1000, 50, 500, 0, 50, 0, 500, 0, 1000, 0], [200, 500, 50, 0, 1000, 0, 1000, 1000, 0, 500], [500, 100, 100, 50, 50, 200, 0, 0, 500, 0]]",0.204,0.1,0.07,253
96,7,"[[392,1176],[296,592],[54,270],[72,216],[119,714],[349,1047],[333,666]]",4,"[[9.8, 141], [11.8, 151], [14.2, 274], [17.0, 198]]","[33, 98, 28]","[[0, 500, 500, 50, 0, 0, 500], [500, 0, 1000, 100, 0, 100, 100], [500, 1000, 0, 500, 50, 500, 50], [50, 100, 500, 0, 1000, 1000, 1000], [0, 0, 50, 1000, 0, 1000, 1000], [0, 100, 500, 1000, 1000, 0, 1000], [500, 100, 50, 1000, 1000, 1000, 0]]",0.565,0.06,0.03,370
97,16,"[[436,872],[383,766],[51,153],[68,408],[84,504],[106,636],[594,1782],[187,1122],[189,945],[489,978],[73,438],[156,936],[582,1164],[573,1719],[58,232],[80,400]]",7,"[[6.0, 67], [7.2, 98], [8.7, 168], [10.4, 189], [12.5, 187], [14.9, 248], [17.9, 224]]","[38, 100, 29, 98, 80, 39]","[[0, 500, 0, 50, 200, 500, 0, 0, 0, 100, 1000, 0, 1000, 200, 1000, 200], [500, 0, 500, 1000, 1000, 0, 0, 0, 0, 50, 0, 500, 100, 50, 0, 500], [0, 500, 0, 200, 1000, 500, 50, 50, 1000, 100, 200, 1000, 0, 200, 100, 50], [50, 1000, 200, 0, 1000, 0, 0, 0, 100, 50, 200, 100, 0, 100, 500, 500], [200, 1000, 1000, 1000, 0, 500, 0, 50, 0, 100, 500, 0, 50, 500, 100, 0], [500, 0, 500, 0, 500, 0, 200, 200, 0, 100, 500, 50, 200, 0, 0, 0], [0, 0, 50, 0, 0, 200, 0, 200, 1000, 0, 200, 0, 500, 50, 100, 0], [0, 0, 50, 0, 50, 200, 200, 0, 200, 100, 200, 50, 500, 100, 0, 0], [0, 0, 1000, 100, 0, 0, 1000, 200, 0, 500, 1000, 50, 500, 0, 0, 100], [100, 50, 100, 50, 100, 100, 0, 100, 500, 0, 200, 0, 0, 50, 0, 200], [1000, 0, 200, 200, 500, 500, 200, 200, 1000, 200, 0, 1000, 0, 0, 0, 50], [0, 500, 1000, 100, 0, 50, 0, 50, 50, 0, 1000, 0, 1000, 0, 100, 100], [1000, 100, 0, 0, 50, 200, 500, 500, 500, 0, 0, 1000, 0, 200, 200, 100], [200, 50, 200, 100, 500, 0, 50, 100, 0, 50, 0, 0, 200, 0, 200, 1000], [1000, 0, 100, 500, 100, 0, 100, 0, 0, 0, 0, 100, 200, 200, 0, 1000], [200, 500, 50, 500, 0, 0, 0, 0, 100, 200, 50, 100, 100, 1000, 1000, 0]]",0.41,0.12,0.07,224
98,10,"[[597,1791],[197,1379],[591,1773],[83,249],[456,1368],[503,1509],[510,1530],[72,360],[78,390],[87,435]]",7,"[[12.6, 137], [15.1, 242], [18.2, 238], [21.8, 295], [26.1, 381], [31.4, 355], [37.6, 389]]","[29, 99, 88, 42, 70, 79]","[[0, 1000, 200, 500, 200, 1000, 50, 0, 1000, 1000], [1000, 0, 500, 100, 0, 500, 500, 0, 50, 0], [200, 500, 0, 200, 1000, 50, 0, 0, 1000, 50], [500, 100, 200, 0, 500, 1000, 200, 200, 1000, 200], [200, 0, 1000, 500, 0, 500, 0, 50, 200, 100], [1000, 500, 50, 1000, 500, 0, 200, 0, 500, 0], [50, 500, 0, 200, 0, 200, 0, 500, 50, 200], [0, 0, 0, 200, 50, 0, 500, 0, 500, 0], [1000, 50, 1000, 1000, 200, 500, 50, 500, 0, 500], [1000, 0, 50, 200, 100, 0, 200, 0, 500, 0]]",0.338,0.11,0.03,486
99,8,"[[190,950],[434,1302],[206,1648],[61,183],[74,222],[93,372],[207,1242],[175,875]]",6,"[[6.0, 116], [7.2, 92], [8.6, 146], [10.3, 183], [12.4, 202], [14.9, 285]]","[39, 96, 81, 23, 20]","[[0, 1000, 50, 200, 0, 500, 0, 200], [1000, 0, 200, 1000, 0, 0, 500, 0], [50, 200, 0, 1000, 1000, 50, 0, 50], [200, 1000, 1000, 0, 200, 0, 0, 1000], [0, 0, 1000, 200, 0, 200, 0, 0], [500, 0, 50, 0, 200, 0, 1000, 0], [0, 500, 0, 0, 0, 1000, 0, 1000], [200, 0, 50, 1000, 0, 0, 1000, 0]]",0.306,0.11,0.03,212
100,9,"[[116,580],[88,440],[51,153],[482,1446],[76,304],[234,1404],[174,1218],[260,520],[472,944]]",7,"[[14.2, 277], [17.0, 264], [20.4, 393], [24.5, 467], [29.4, 460], [35.3, 562], [42.3, 813]]","[90, 48, 30, 28, 88, 62]","[[0, 500, 0, 500, 1000, 0, 0, 0, 200], [500, 0, 1000, 50, 0, 1000, 0, 0, 0], [0, 1000, 0, 500, 0, 200, 50, 50, 200], [500, 50, 500, 0, 200, 100, 200, 200, 1000], [1000, 0, 0, 200, 0, 1000, 200, 0, 0], [0, 1000, 200, 100, 1000, 0, 500, 1000, 100], [0, 0, 50, 200, 200, 500, 0, 500, 0], [0, 0, 50, 200, 0, 1000, 500, 0, 1000], [200, 0, 200, 1000, 0, 100, 0, 1000, 0]]",0.321,0.12,0.06,334
